SlNo,District Name,Kharif_AreaBefore bund correction factor,Kharif_AreaAfter bund correction factor,Kharif_Yield,Kharif_Production,Rabi_AreaBefore bund correction factor,Rabi_AreaAfter bund correction factor,Rabi_Yield,Rabi_Production,Summer_AreaBefore bund correction factor,Summer_AreaAfter bund correction factor,Summer_Yield,Summer_Production,All Seasons_AreaBefore bund correction factor,All Seasons_AreaAfter bund correction factor,All Seasons_Yield,All Seasons_Production
1,BAGALKOTE,61,60,1322,79,37,36,1348,49,0,0,0,0,98,96,1332,128
2,BENGALURU - URBAN,18186,17822,1703,30351,114,112,1348,151,10,10,1803,18,18310,17944,1701,30520
3,BENGALURU - RURAL,66564,65233,1741,113570,334,327,1348,441,25,25,1803,44,66923,65585,1739,114056
4,BELAGAVI,1308,1282,1328,1702,69,68,1348,91,33,32,1803,58,1410,1382,1340,1852
5,BALLARI,14441,14152,1095,15497,19958,19559,1466,28673,2855,2798,1527,4272,37254,36509,1327,48442
6,BIDAR,49,48,1322,63,17,17,1348,22,4,4,1803,7,70,69,1356,93
7,VIJAYAPURA,54,53,1322,70,88,86,1348,116,0,0,0,0,142,139,1338,186
8,CHAMARAJANAGAR,6896,6758,1269,8576,136,133,1348,180,93,91,1958,178,7125,6983,1280,8934
9,CHICKBALLAPUR,40598,39786,1553,61788,1849,1812,1348,2443,1662,1629,1803,2937,44109,43227,1554,67167
10,CHIKMAGALUR,54749,53654,1027,55103,940,921,1348,1242,37,36,1803,65,55726,54611,1033,56410
11,CHITRADURGA,43062,42201,872,36799,3282,3216,1804,5802,2841,2784,2027,5644,49185,48201,1001,48245
12,DAKSHINA KANNADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,DAVANAGERE,10949,10730,1535,16471,9565,9374,1297,12158,796,780,1803,1406,21310,20884,1438,30035
14,DHARWAD,32,31,1322,41,54,53,1348,71,0,0,0,0,86,84,1338,113
15,GADAG,58,57,1322,75,43,42,1348,57,0,0,0,0,101,99,1333,132
16,KALBURGI,43,42,1322,56,86,84,1348,114,13,13,1803,23,142,139,1382,192
17,HASSAN,96903,94965,727,69040,6477,6347,985,6252,134,131,1803,237,103514,101444,745,75529
18,HAVERI,91,89,860,77,193,189,1348,255,37,36,1803,65,321,315,1262,397
19,KODAGU,18,18,1322,23,0,0,0,0,0,0,0,0,18,18,1322,23
20,KOLAR,56893,55755,1784,99467,212,208,1348,280,183,179,1803,323,57288,56142,1782,100071
21,KOPPAL,68,67,1322,88,27,26,1348,36,4,4,1803,7,99,97,1349,131
22,MANDYA,57354,56207,1300,73069,4136,4053,1416,5739,3391,3323,1821,6052,64881,63583,1335,84860
23,MYSURU,58087,56925,1575,89657,35718,35004,1312,45925,506,496,1958,971,94311,92425,1477,136553
24,RAICHUR,99,97,1322,128,54,53,1348,71,2,2,1803,4,155,152,1337,203
25,RAMANAGARAM,74648,73155,1773,129704,379,371,1348,501,280,274,1803,495,75307,73801,1771,130699
26,SHIVAMOGGA,416,408,1479,603,1,1,1348,1,47,46,1803,83,464,455,1512,687
27,TUMAKURU,164565,161274,1181,190464,19,19,1348,25,500,490,1803,883,165084,161782,1183,191373
28,UDUPI,1,1,1322,1,0,0,0,0,0,0,0,0,1,1,1322,1
29,UTTARA KANNADA,4,4,1322,5,3,3,1348,4,0,0,0,0,7,7,1333,9
30,YADGIR,9,9,1322,12,65,64,1348,86,1,1,1803,2,75,74,1351,99
NA,State Total,766206,750882,1322,992580,83856,82179,1348,110785,13454,13185,1803,23775,863516,846246,1332,1127140
